observation	capability_behavior	entry_family	sink_family	owning_wp	first_validation_check	disposition	assertion
R3-001	C28.1	F06	S04	WP08	T33.L	retain-public	A newly allocated terminal tab ID is not evidence that a PTY already exists.
R3-002	C28.1	F06	S04	WP08	T33.L	retain-public	Visible xterm readiness opens once per bound terminal generation.
R3-003	C14.1	F06	S05	WP05	T09.L	retain-public	Hiding a terminal panel disposes rendering without falsely reporting backend shutdown.
R3-004	C28.1	F06	S13	WP08	T33.L	retain-public	Bounded in-memory output is not a durable transcript and is not silently reused across identities.
R3-005	C14.1	F06	S08	WP04	T18.L	replace-binding	Reader-driven terminal-exit cannot become an execution-success event.
R3-006	C14.1	F06	S05	WP05	T09.L	retain-public	Tab removal before unawaited backend close preserves visible close-failure diagnosis.
R3-007	C28.1	F06	S05	WP08	T33.L	retain-public	Manual restart failure clears pending launch and prevents unintended stdin write.
R3-008	C05.2	F06	S04	WP08	T34.L	retain-public	Single-script ready gating proves write targeting, not script exit or success.
R3-009	C05.2	F06	S04	WP08	T34.L	retain-public	Multiple launch IDs retain independent pending writes and failure toasts.
R3-010	C05.2	F06	S01	WP08	T34.L	replace-binding	Setup marker creation must not inherit the semantics of manual launch completion.
R3-011	C28.1	F06	S13	WP08	T33.L	retain-public	Ephemeral tab state and persistent backend resources have different restart behavior.
R3-012	C04.1	F03	S01	WP08	T03.L	replace-binding	Focus/visible refresh failure cannot certify the stale closure workspace set as current.
R3-013	C34.2	F14	S07	WP10a	T56.L	seal-preserve	Visible remote workspace polling is sealed independently of connect buttons.
R3-014	C34.2	F14	S04	WP10a	T56.L	seal-preserve	DOM and Tauri focus-triggered connect/resume routes cannot restore sealed remote behavior.
R3-015	C34.1	F14	S07	WP10b	T44.L	replace-binding	Thread polling uses explicit live/processing state and is not a server lease.
R3-016	C34.1	F14	S08	WP10b	T44.L	replace-binding	Unsubscribe failure followed by subscribe cannot be represented as an atomic switch.
R3-017	C34.1	F14	S08	WP04	T16.L	replace-binding	Late detach within or after the ten-second window cannot revive an old binding.
R3-018	C34.1	F14	S08	WP10b	T44.L	replace-binding	Blur/hidden cleanup records uncertain unsubscribe rather than confirmed server removal.
R3-019	C34.1	F08	S08	WP10b	T44.L	replace-binding	Connected notifications may reconnect live subscriptions and are not badge-only events.
R3-020	C34.1	F08	S08	WP04	T16.L	replace-binding	Activity/heartbeat display does not certify subscription continuity or absence of gaps.
R3-021	C35.1	F12	S04	WP05	T08.L	replace-binding	Notification deep-link replacement/expiry and failed connect must preserve target scope.
R3-022	C11.1	F08	S08	WP04	T16.L	replace-binding	Ignored Tauri emit failure cannot be promoted to delivered event.
R3-023	C06.1	F08	S08	WP02	T10.L	replace-binding	Raw workspace/thread identity requires public binding generation and sequence provenance.
R3-024	C11.1	F08	S08	WP04	T16.L	replace-binding	Initial native-listen failure and later subscribers require explicit retry/error attribution.
R3-025	C11.1	F08	S08	WP04	T16.L	replace-binding	Unsubscribe before async listen completion must clean up without claiming buffered delivery.
R3-026	C11.1	F08	S08	WP04	T16.L	replace-binding	Two semantic hubs for the same native event must not cause duplicate execution or notifications.
R3-027	C37.2	F08	S10	WP09b	T23.L	retain-public	Raw events reach debug before supported-method filtering and require redaction.
R3-028	C15.1	F08	S06	WP04	T19.L	replace-binding	Missing approval IDs or empty questions must not create fabricated actionable continuations.
R3-029	C11.1	F08	S08	WP04	T18.L	replace-binding	Malformed camel/snake event fields are diagnosed rather than silently becoming completion.
