observation	capability_behavior	entry_family	sink_family	owning_wp	first_validation_check	disposition	assertion
R5-001	C34.1	F14	S07	WP10b	T43.L	replace-binding	Remote client creation is demand-driven and distinct from startup-managed daemon control.
R5-002	C41.1	F14	S07	WP10a	T56.L	seal-preserve	Raw TCP without application TLS must not be represented as verified peer identity.
R5-003	C38.1	F14	S07	WP04	T19.L	replace-binding	Optional client token and required server authentication are tested as distinct states.
R5-004	C12.1	F14	S07	WP04	T53.L	replace-binding	Queue-send and response deadlines have separate acceptance states and pending cleanup.
R5-005	C12.1	F14	S07	WP04	T14.L	replace-binding	Response timeout after server execution remains unknown acceptance and forbids blind resend.
R5-006	C12.1	F14	S07	WP04	T14.L	replace-binding	Only exact disconnect errors trigger one allowlisted retry; writes are not generally replayable.
R5-007	C33.2	F14	S04	WP03	T51.L	replace-binding	Runtime-args/connect/resume/live retries need method-level idempotence or reconciliation.
R5-008	C11.1	F14	S08	WP04	T18.L	replace-binding	Invalid JSON, unknown shapes and unmatched IDs are diagnosed without fabricated completion.
R5-009	C11.1	F14	S08	WP04	T16.L	replace-binding	Only three bridged notification kinds do not establish parity for every OS event.
R5-010	C12.1	F14	S07	WP04	T14.L	replace-binding	Disconnect draining does not collapse unsent, partially sent and executed requests into one fact.
R5-011	C32.2	F14	S02	WP08	T22.L	replace-binding	WSL UNC normalization must retain explicit target-machine/distro identity rather than silently broadening paths.
R5-012	C41.1	F15	S07	WP10a	T56.L	seal-preserve	Loopback standalone and all-interface managed listeners are separate sealing entries.
R5-013	C38.1	F14	S07	WP04	T19.L	replace-binding	No-token dev mode, unauthorized requests and authenticated event subscription are independently checked.
R5-014	C11.1	F14	S08	WP04	T18.L	replace-binding	Malformed or ID-less requests retain diagnostic policy even when no error response is possible.
R5-015	C12.2	F14	S07	WP04	T53.L	replace-binding	Per-connection concurrency limits do not imply per-session execution order.
R5-016	C12.2	F14	S07	WP04	T53.L	replace-binding	Slow clients cannot create unbounded response/event memory without an explicit budget.
R5-017	C11.1	F14	S08	WP04	T16.L	replace-binding	Broadcast lag requires gap/cursor/snapshot handling rather than silently continuing.
R5-018	C11.1	F14	S08	WP04	T16.L	replace-binding	No event receivers is not durable delivery; producer send failure remains observable.
R5-019	C14.1	F14	S05	WP10b	T44.L	replace-binding	Client EOF aborts transport tasks but does not falsely certify cancellation of spawned business work.
R5-020	C14.2	F15	S05	WP03	T32.L	replace-binding	Shutdown acknowledgment precedes 100ms process exit and must not impersonate drained writers.
R5-021	C35.1	F14	S11	WP10b	T44.L	retain-public	Daemon no-op menus and daemon-host notification fallback are explicitly non-equivalent to desktop UX.
R5-022	C37.1	F15	S01	WP02	T39.L	replace-binding	Initial invalid settings/workspaces must fail closed instead of authorizing an empty writer state.
