0	0	accept
-0	0	accept
1	1	accept
-1	-1	accept
0.5	0.5	accept
-0.5	-0.5	accept
1.25	1.25	accept
-1.25	-1.25	accept
1e-7	1e-7	accept
1e-6	0.000001	accept
1e-5	0.00001	accept
1e+20	100000000000000000000	reject
1e21	1e+21	reject
1e+21	1e+21	reject
1e+30	1e+30	reject
1.2345678901234567	1.2345678901234567	accept
1.0000000000000001	1	accept
1.0000000000000002	1.0000000000000002	accept
9007199254740991	9007199254740991	accept
-9007199254740991	-9007199254740991	accept
9007199254740992	9007199254740992	reject
-9007199254740992	-9007199254740992	reject
1e20	100000000000000000000	reject
1e-324	0	accept
5e-324	5e-324	accept
2.2250738585072014e-308	2.2250738585072014e-308	accept
1.7976931348623157e308	1.7976931348623157e+308	reject
2.9802322387695312e-8	2.9802322387695312e-8	accept
2.9802322387695313e-8	2.9802322387695312e-8	reject
1515117812813772.2	1515117812813772.2	accept
1515117812813772.3	1515117812813772.2	reject
